Algorithm,Experiment,Dataset,File,Objective,Success_Rate,Greedy_Baseline,GA_Best,Difference_vs_Greedy,Avg_Time,Status,Population,Elite,Crossover_Rate,Mutation_Rate,Crossover_Type,Mutation_Type
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_200_300_80,2453,0.8176666666666667,2478,2453,-25,360.0278936279992,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_300_450_120,4004,0.8897777777777778,4030,4004,-26,360.1096477890005,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_500_750_200,6960,0.928,6993,6960,-33,600.1020990080006,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_800_1200_320,11396,0.9496666666666668,11450,11396,-54,900.64234158,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Exponential,Exponential_1000_1500_400,14357,0.9571333333333332,14414,14357,-57,900.131233778,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_20_30_10,162,0.81,159,162,3,20.001939144000065,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_50_75_20,687,0.916,687,687,0,90.01878137699987,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_80_120_32,1156,0.9633333333333334,1151,1156,5,180.02242541000123,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_100_150_40,1450,0.9666666666666668,1432,1450,18,180.03921696600082,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_150_225_60,2192,0.9742222222222222,2171,2192,21,360.0552252340003,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_200_300_80,2929,0.9763333333333334,2904,2929,25,360.09403903599923,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_300_450_120,4388,0.9751111111111112,4363,4388,25,360.2004454420003,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_500_750_200,7409,0.9879983997866382,7400,7409,9,600.4801446439997,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_800_1200_320,11813,0.9844166666666668,11787,11813,26,901.5937112760002,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Gaussian,Gaussian_1000_1500_400,14806,0.9870666666666666,14770,14806,36,901.6857688580004,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_20_30_10,146,0.73,140,146,6,20.003545315999872,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_50_75_20,617,0.8226666666666667,620,617,-3,90.01640099799988,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_80_120_32,1120,0.9333333333333332,1114,1120,6,180.00984601299933,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_100_150_40,1420,0.9466666666666668,1417,1420,3,180.01135614299892,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_150_225_60,2214,0.984,2213,2214,1,360.0188779559994,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_200_300_80,2951,0.9836666666666668,2932,2951,19,360.0917460520013,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_300_450_120,4470,0.9933333333333332,4449,4470,21,360.0382266329998,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_500_750_200,7323,0.9764,7312,7323,11,600.0796805059999,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_800_1200_320,11795,0.9829166666666668,11805,11795,-10,900.8006912720012,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Poisson,Poisson_1000_1500_400,14636,0.975798386559104,14563,14636,73,901.1696935660002,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_20_30_10,189,0.945,184,189,5,20.00487612300094,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_50_75_20,641,0.8546666666666667,648,641,-7,90.00639337999928,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_80_120_32,1122,0.935,1126,1122,-4,180.02321984000082,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_100_150_40,1383,0.922,1386,1383,-3,180.0381687659974,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_150_225_60,2136,0.9493333333333334,2122,2136,14,360.0182325390015,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_200_300_80,2904,0.968,2877,2904,27,360.03790665499764,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_300_450_120,4276,0.9504334296510336,4277,4276,-1,360.18308193300254,VALID,40,5,0.85,0.4,ox,mixed
Pure GA Timetabling,pop40_elite5_cx0p85_ox_mut0p4_mixed_tk3_initrandom_r_low_mutation_0p4,Uniform,Uniform_500_750_200,7290,0.972,7262,7290,28,600.1736218860024,VALID,40,5,0.85,0.4,ox,mixed
